CHANNEL,Date,Sends,Spends,Check
SMS,2023-10-07,1913,128.17,
SMS,2023-11-09,1,0.07,
SMS,2023-11-17,102,6.83,
SMS,2023-12-15,92793,6217.13,
SMS,2024-01-05,64131,4296.78,
SMS,2024-03-20,1,0.07,
SMS,2024-03-21,4157,278.52,
SMS,2024-04-09,54,3.62,
SMS,2024-04-10,61683,4132.76,
SMS,2024-04-26,23589,1580.46,
SMS,2024-05-16,8545,572.52,
SMS,2024-05-27,1,0.07,
SMS,2024-05-30,1,0.07,
SMS,2024-06-04,1,0.07,
SMS,2024-06-13,1,0.07,
SMS,2024-06-14,1,0.07,
SMS,2024-06-21,28907,1936.77,
SMS,2024-06-27,87173,5840.59,